"","Species","community","nReads","proportion","comm_sp","comm_rep","Cycles","tech_rep","run_idx","sample_idx","sp_idx","comm_idx","cycle_number_idx","comm_sp_idx","comm_rep_idx","tot_Reads","est_prop"
"1","A. brama","MC01",8985,0.1,"1_1_35","1_1_35",35,1,1,1,1,1,1,1,1,38977,0.23052056340919
"2","A. brama","MC03",4736,0.1,"3_1_35","3_1_35",35,1,1,3,1,3,1,3,3,43315,0.109338566316519
"3","A. brama","MC04",5238,0.1,"4_1_35","4_1_35",35,1,1,4,1,4,1,4,4,47020,0.11139940450872
"4","A. brama","MC06",19987,0.181818181818182,"6_1_35","6_1_35",35,1,1,6,1,6,1,6,6,47081,0.424523693209575
"5","A. brama","MC08",1224,0.0181818181818182,"8_1_35","8_1_35",35,1,1,8,1,8,1,8,8,55736,0.0219606717381943
"6","A. brama","MC09",13454,0.181818181818182,"9_1_35","9_1_35",35,1,1,9,1,9,1,9,9,38340,0.350912884715702
"7","A. alburnus","MC01",3629,0.1,"1_2_35","1_1_35",35,1,1,1,2,1,1,11,1,38977,0.0931061908304898
"8","A. alburnus","MC02",2721,0.1,"2_2_35","2_1_35",35,1,1,2,2,2,1,12,2,38013,0.071580774998027
"9","A. alburnus","MC05",5076,0.2,"5_2_35","5_1_35",35,1,1,5,2,5,1,15,5,34868,0.145577606974877
"10","A. alburnus","MC06",399,0.0181818181818182,"6_2_35","6_1_35",35,1,1,6,2,6,1,16,6,47081,0.00847475627110724
"11","A. alburnus","MC07",506,0.0181818181818182,"7_2_35","7_1_35",35,1,1,7,2,7,1,17,7,30133,0.0167922211528889
"12","A. alburnus","MC10",6368,0.363636363636364,"10_2_35","10_1_35",35,1,1,10,2,10,1,20,10,27275,0.233473877176902
"13","A. nebulosus","MC01",7913,0.1,"1_3_35","1_1_35",35,1,1,1,3,1,1,21,1,38977,0.203017163968494
"14","A. nebulosus","MC05",6582,0.1,"5_3_35","5_1_35",35,1,1,5,3,5,1,25,5,34868,0.188769071928416
"15","A. nebulosus","MC06",1618,0.0181818181818182,"6_3_35","6_1_35",35,1,1,6,3,6,1,26,6,47081,0.0343663048788259
"16","A. nebulosus","MC10",1655,0.0181818181818182,"10_3_35","10_1_35",35,1,1,10,3,10,1,30,10,27275,0.0606782768102658
"17","B. barbus","MC02",3611,0.1,"2_4_35","2_1_35",35,1,1,2,4,2,1,32,2,38013,0.0949938179044011
