community,Basin,Species,nReads,locus_idx,start_conc_ng,tot,NtimesObserved,Cycles,tech_rep,run_idx,sample_idx,sp_idx,comm_idx,cycle_number_idx
MC01,Mock community,Abramis brama,8193,1,5,17178,887,30,1,1,79,1,79,1
MC01,Mock community,Alburnus alburnus,1860,1,5,5489,887,30,1,1,79,2,79,1
MC01,Mock community,Ameiurus nebulosus,5805,1,5,13718,887,30,1,1,79,3,79,1
MC01,Mock community,Cottus gobio,1864,1,5,5542,887,30,1,1,79,5,79,1
MC01,Mock community,Cyprinus carpio,7059,1,5,10343,887,30,1,1,79,6,79,1
MC01,Mock community,Esox lucius,2467,1,5,6008,887,30,1,1,79,7,79,1
MC01,Mock community,Squalius cephalus,2046,1,5,7294,887,30,1,1,79,18,79,1
MC01,Mock community,Tinca tinca,273,1,5,1256,887,30,1,1,79,19,79,1
MC01,Mock community,Umbra pygmaea,1788,1,5,3214,887,30,1,1,79,20,79,1
MC01,Mock community,Coregonus,76,1,5,366,887,30,1,1,79,21,79,1
MC02,Mock community,Alburnus alburnus,765,1,5,3486,887,30,1,1,80,2,80,1
MC02,Mock community,Barbus barbus,2526,1,5,6137,887,30,1,1,80,4,80,1
MC02,Mock community,Cyprinus carpio,9349,1,5,13741,887,30,1,1,80,6,80,1
MC02,Mock community,Gobio gobio,32,1,5,2638,887,30,1,1,80,8,80,1
MC02,Mock community,Gymnocephalus cernua,2851,1,5,11023,887,30,1,1,80,9,80,1
MC02,Mock community,Lepomis gibbosus,8828,1,5,8892,887,30,1,1,80,10,80,1
MC02,Mock community,Leuciscus leuciscus,322,1,5,7351,887,30,1,1,80,12,80,1
MC02,Mock community,Perca fluviatilis,2197,1,5,5044,887,30,1,1,80,13,80,1
MC02,Mock community,Pseudorasbora parva,1340,1,5,4787,887,30,1,1,80,15,80,1
MC02,Mock community,Rutilus rutilus,149,1,5,3273,887,30,1,1,80,16,80,1
MC03,Mock community,Abramis brama,10769,1,5,15505,887,30,1,1,81,1,81,1
MC03,Mock community,Barbus barbus,3533,1,5,8468,887,30,1,1,81,4,81,1
MC03,Mock community,Esox lucius,4642,1,5,7829,887,30,1,1,81,7,81,1
MC03,Mock community,Gymnocephalus cernua,3123,1,5,9544,887,30,1,1,81,9,81,1
MC03,Mock community,Leucaspius delineatus,8216,1,5,20105,887,30,1,1,81,11,81,1
MC03,Mock community,Phoxinus phoxinus,2307,1,5,7586,887,30,1,1,81,14,81,1
MC03,Mock community,Salmo trutta,1919,1,5,6138,887,30,1,1,81,17,81,1
MC03,Mock community,Tinca tinca,345,1,5,872,887,30,1,1,81,19,81,1
MC03,Mock community,Umbra pygmaea,4827,1,5,6620,887,30,1,1,81,20,81,1
MC03,Mock community,Coregonus,124,1,5,453,887,30,1,1,81,21,81,1
MC04,Mock community,Abramis brama,15074,1,5,20312,887,30,1,1,82,1,82,1
MC04,Mock community,Esox lucius,9733,1,5,15875,887,30,1,1,82,7,82,1
MC04,Mock community,Gymnocephalus cernua,5646,1,5,16025,887,30,1,1,82,9,82,1
MC04,Mock community,Perca fluviatilis,3521,1,5,6840,887,30,1,1,82,13,82,1
MC04,Mock community,Phoxinus phoxinus,2295,1,5,8800,887,30,1,1,82,14,82,1
MC04,Mock community,Rutilus rutilus,155,1,5,2318,887,30,1,1,82,16,82,1
MC04,Mock community,Salmo trutta,1653,1,5,7455,887,30,1,1,82,17,82,1
MC04,Mock community,Squalius cephalus,2920,1,5,9274,887,30,1,1,82,18,82,1
MC04,Mock community,Tinca tinca,296,1,5,963,887,30,1,1,82,19,82,1
MC04,Mock community,Coregonus,170,1,5,621,887,30,1,1,82,21,82,1
MC05,Mock community,Alburnus alburnus,2232,1,10,7308,887,30,1,1,83,2,83,1
MC05,Mock community,Ameiurus nebulosus,5613,1,5,12195,887,30,1,1,83,3,83,1
MC05,Mock community,Cottus gobio,4704,1,5,7726,887,30,1,1,83,5,83,1
MC05,Mock community,Cyprinus carpio,16713,1,10,22963,887,30,1,1,83,6,83,1
MC05,Mock community,Lepomis gibbosus,5196,1,5,5234,887,30,1,1,83,10,83,1
MC05,Mock community,Leuciscus leuciscus,93,1,5,6390,887,30,1,1,83,12,83,1
MC05,Mock community,Pseudorasbora parva,923,1,5,4398,887,30,1,1,83,15,83,1
MC06,Mock community,Abramis brama,18219,1,5,38206,887,30,1,1,84,1,84,1
MC06,Mock community,Alburnus alburnus,136,1,0.5,535,887,30,1,1,84,2,84,1
MC06,Mock community,Ameiurus nebulosus,1401,1,0.5,3019,887,30,1,1,84,3,84,1
MC06,Mock community,Cottus gobio,7118,1,5,17173,887,30,1,1,84,5,84,1
MC06,Mock community,Cyprinus carpio,2874,1,0.5,3566,887,30,1,1,84,6,84,1
MC06,Mock community,Esox lucius,60,1,0.5,469,887,30,1,1,84,7,84,1
MC06,Mock community,Squalius cephalus,3898,1,5,13789,887,30,1,1,84,18,84,1
MC06,Mock community,Tinca tinca,55,1,5,1149,887,30,1,1,84,19,84,1
MC06,Mock community,Umbra pygmaea,860,1,0.5,1321,887,30,1,1,84,20,84,1
MC06,Mock community,Coregonus,285,1,5,2760,887,30,1,1,84,21,84,1
MC07,Mock community,Alburnus alburnus,70,1,0.5,576,887,30,1,1,85,2,85,1
MC07,Mock community,Barbus barbus,5619,1,5,13305,887,30,1,1,85,4,85,1
MC07,Mock community,Cyprinus carpio,4030,1,0.5,4878,887,30,1,1,85,6,85,1
MC07,Mock community,Gobio gobio,0,1,0.5,347,887,30,1,1,85,8,85,1
MC07,Mock community,Gymnocephalus cernua,5306,1,5,15231,887,30,1,1,85,9,85,1
MC07,Mock community,Lepomis gibbosus,15178,1,5,15193,887,30,1,1,85,10,85,1
